input,winner,probability,harmony,operation,output,merge_cond_(68.93),exhaust_ws_(51.72),label_cons_(47.26),case_agr_(27.57),wh_agr_(0.00),foc_agr_(0.00),cl_agr_(0.00),case_(79.98),wh_(10.09),foc_(22.63),cl_(0.00),case_mt_(82.62),wh_mt_(0.00),foc_mt_(0.00),cl_mt_(0.00),LB_DP_(100.00),LB_V_(68.31),LB_v_(21.04),LB_T_(34.16),LB_C_(0.00),LB_DP2_(0.00)
unaccusative_[.. [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],1,1.0,-34.155341325520745,Label,[T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
unaccusative_[.. [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,2.3564095684341007e-36,-116.19126558203385,xMerge,[.. [C] [.. [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,7.035686000038535e-29,-98.97931382409246,iMerge,[.. [DP] [.. [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,7.9708288905139955e-53,-154.1165627654916,iMerge,[.. [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]] [.. [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,7.488674731465641e-41,-126.54793829479203,iMerge,[.. [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]] [.. [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,7.488674731465641e-41,-126.54793829479203,iMerge,[.. [V [V] [DP case_agr]] [.. [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,7.035686000038535e-29,-98.97931382409246,rMerge,[.. [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],1,0.9885596826644174,-47.26010426549789,xMerge,[.. [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,3.416926008882045e-23,-98.97931382409246,iMerge,[.. [DP] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,3.6369228902288377e-35,-126.54793829479203,iMerge,[.. [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,3.6369228902288377e-35,-126.54793829479203,iMerge,[.. [V [V] [DP case_agr]] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,0.011440317335582562,-51.71920955859458,rMerge,[T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],1,0.9999999999999984,0.0,Label,[C [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
unaccusative_[.. [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,1.4673162756146601e-15,-34.155341325520745,Label,[T [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
unaccusative_[.. [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,1.195108107641132e-73,-167.91047514062842,iMerge,[.. [C] [.. [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]]],1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,1.0323576577970748e-43,-98.97931382409246,iMerge,[.. [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]] [.. [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
unaccusative_[.. [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]],0,1.0323576577970748e-43,-98.97931382409246,iMerge,[.. [DP] [.. [C] [T [DP] [T case [T case] [v [DP case_agr] [v [v] [V [V] [DP case_agr]]]]]]]],0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
